case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-99448,4/7/2026,April 2026,4/7/2026,1430,1000 BLOCK OF SE BELMONT ST,Buckman West,3,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.516451437,-122.655169155,7649737,681753,2026
26-99449,4/7/2026,April 2026,3/11/2026,1300,6300 BLOCK OF N MICHIGAN AVE,Piedmont,2,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.568790080,-122.676962222,7644667,700979,2026
26-99475,4/7/2026,April 2026,4/4/2026,1500,NE SKIDMORE ST / NE 32ND AVE,Alameda,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.554308586,-122.632784950,7655837,695399,2026
26-9948,1/11/2026,January 2026,1/11/2026,1326,400 BLOCK OF NE DAVIS ST,Kerns,3,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.524404267,-122.661212649,7648266,684693,2026
26-99483,4/7/2026,April 2026,4/7/2026,1250,UNKNOWN ADDRESS,,,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Intimidation,1,,,,,2026
26-99491,4/7/2026,April 2026,4/7/2026,1255,NE GLISAN ST / NE 146TH AVE,Hazelwood,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.526470484,-122.513166617,7686215,684466,2026
26-99504,4/7/2026,April 2026,4/6/2026,2000,3500 BLOCK OF SE POWELL BLVD,Creston-Kenilworth,3,Property,Burglary,Property,Burglary,Burglary,1,45.496954338,-122.626944796,7656782,674455,2026
26-99516,4/7/2026,April 2026,4/7/2026,1315,8200 BLOCK OF SE HARNEY ST,Lents,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.463346303,-122.578623038,7668853,661883,2026
26-99535,4/7/2026,April 2026,4/5/2026,300,7900 BLOCK OF SE 13TH AVE,Sellwood-Moreland,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.466819589,-122.653057053,7649796,663649,2026
26-99536,4/7/2026,April 2026,10/14/2025,800,2500 BLOCK OF SE 50TH AVE,Richmond,3,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.504594288,-122.610940913,7660957,677132,2026
26-99537,4/7/2026,April 2026,4/7/2026,1330,3900 BLOCK OF S CORBETT AVE,South Portland,4,Property,Burglary,Property,Burglary,Burglary,1,45.494725020,-122.675941779,7644201,673977,2026
26-99565,4/7/2026,April 2026,2/10/2026,1300,5100 BLOCK OF SE 26TH AVE,Reed,4,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.485719385,-122.639629938,7653422,670446,2026
