case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-24703,1/26/2026,January 2026,1/24/2026,1400,2100 BLOCK OF NE 112TH AVE,Parkrose Heights,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.538127191,-122.547673553,7677482,688937,2026
26-24709,1/26/2026,January 2026,1/26/2026,0,12500 BLOCK OF SE POWELL CT,Powellhurst-Gilbert,1,Property,Burglary,Property,Burglary,Burglary,1,45.496778906,-122.534401565,7680502,673780,2026
26-2471,1/3/2026,January 2026,1/3/2025,1401,SW OAK ST / SW 10TH AVE,Downtown,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.522777319,-122.681103414,7643154,684237,2026
26-24716,1/26/2026,January 2026,1/26/2026,849,NW 4TH AVE / NW DAVIS ST,Old Town/Chinatown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.524525018,-122.674445275,7644877,684828,2026
26-24722,1/26/2026,January 2026,1/25/2026,1900,NE EVERETT ST / NE 74TH AVE,Montavilla,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524649138,-122.586811797,7667330,684281,2026
26-24736,1/26/2026,January 2026,1/25/2026,2300,6000 BLOCK OF SE 91ST AVE,Lents,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.478923900,-122.569548234,7671326,667501,2026
26-24755,1/26/2026,January 2026,1/26/2026,929,0 BLOCK OF SW YAMHILL ST,Downtown,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Intimidation,1,45.516971771,-122.673426226,7645064,682068,2026
26-24779,1/26/2026,January 2026,1/26/2026,1014,4200 BLOCK OF NE HALSEY ST,Hollywood,2,Property,Robbery,Property,Robbery,Robbery,1,45.533751401,-122.619696093,7658992,687818,2026
26-24794,1/26/2026,January 2026,1/24/2026,1000,5100 BLOCK OF NE PRESCOTT ST,Cully,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.555463603,-122.610037072,7661673,695667,2026
26-24796,1/26/2026,January 2026,1/26/2026,1013,6300 BLOCK OF SE WOODWARD ST,South Tabor,3,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.501400647,-122.598216298,7664188,675883,2026
26-24823,1/26/2026,January 2026,1/26/2026,500,2000 BLOCK OF NE HOYT ST,Kerns,3,Property,Burglary,Property,Burglary,Burglary,1,45.527172679,-122.644955033,7652458,685591,2026
26-24824,1/26/2026,January 2026,1/26/2026,1122,10100 BLOCK OF SE WASHINGTON ST,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.518296519,-122.558896652,7674423,681782,2026
26-24843,1/26/2026,January 2026,1/26/2026,1104,1900 BLOCK OF NW GLISAN ST,Northwest,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.526398260,-122.691379593,7640557,685628,2026
26-24846,1/26/2026,January 2026,1/26/2026,1107,400 BLOCK OF NE 160TH AVE,Glenfair,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.525967765,-122.498902396,7689865,684192,2026
26-24849,1/26/2026,January 2026,1/25/2026,2000,5600 BLOCK OF NE RODNEY AVE,King,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.563591894,-122.664701300,7647755,699000,2026
26-24863,1/26/2026,January 2026,1/26/2026,1127,7100 BLOCK OF NE LOMBARD ST,Cully,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.562634046,-122.589372771,7667032,698143,2026
26-24866,1/26/2026,January 2026,12/17/2025,1133,1200 BLOCK OF SE 84TH AVE,Montavilla,3,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.514222020,-122.577203331,7669694,680417,2026
26-24881,1/26/2026,January 2026,1/23/2026,1700,4000 BLOCK OF SE HENRY ST,Woodstock,3,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.476355614,-122.621127377,7658076,666908,2026
26-24884,1/26/2026,January 2026,1/25/2026,2300,11100 BLOCK OF NE WEIDLER ST,Parkrose Heights,1,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.534093008,-122.548047232,7677349,687469,2026
26-24887,1/26/2026,January 2026,1/26/2026,1143,7500 BLOCK OF NE BROADWAY,Montavilla,3,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.535331710,-122.585654670,7667727,688167,2026
26-24896,1/26/2026,January 2026,1/25/2026,1600,2200 BLOCK OF NE 13TH AVE,Irvington,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.538611139,-122.652426491,7650655,689811,2026
26-24899,1/26/2026,January 2026,1/25/2026,1800,2300 BLOCK OF SE 45TH AVE,Richmond,3,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.505962317,-122.616216377,7659618,677666,2026
26-24900,1/26/2026,January 2026,1/26/2026,1200,3400 BLOCK OF NE 20TH AVE,Sabin,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.547855821,-122.645307218,7652568,693132,2026
26-24902,1/26/2026,January 2026,1/26/2026,1200,11300 BLOCK OF NE GLISAN ST,Hazelwood,1,Property,Burglary,Property,Burglary,Burglary,1,45.526237992,-122.545749835,7677865,684591,2026
26-24919,1/26/2026,January 2026,1/26/2026,1246,12200 BLOCK OF NE HALSEY ST,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.533526490,-122.537162835,7680132,687192,2026
26-24929,1/26/2026,January 2026,1/23/2026,1500,1900 BLOCK OF SW MORRISON ST,Goose Hollow,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.522661106,-122.691824726,7640406,684269,2026
26-24939,1/26/2026,January 2026,1/26/2026,1253,1900 BLOCK OF NE EVERETT ST,Kerns,3,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.524983381,-122.645976936,7652175,684800,2026
26-24946,1/26/2026,January 2026,1/26/2026,1316,7100 BLOCK OF NE 47TH AVE,Cully,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.574558592,-122.614087487,7660818,702654,2026
26-24954,1/26/2026,January 2026,1/26/2026,1314,1200 BLOCK OF NE 122ND AVE,Hazelwood,1,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.531760468,-122.537735742,7679969,686552,2026
26-24964,1/26/2026,January 2026,1/22/2026,0,7600 BLOCK OF SE HENRY PL,Mt Scott-Arleta,3,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.476233557,-122.584499557,7667467,666619,2026
26-24979,1/26/2026,January 2026,1/25/2026,1700,3200 BLOCK OF NE 17TH AVE,Sabin,2,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.546335286,-122.648275882,7651793,692598,2026
26-24981,1/26/2026,January 2026,1/26/2026,0,3200 BLOCK OF SE 129TH AVE,Powellhurst-Gilbert,1,Property,Burglary,Property,Burglary,Burglary,1,45.498834709,-122.531096675,7681368,674508,2026
26-2499,1/3/2026,January 2026,1/3/2026,800,8600 BLOCK OF N COLUMBIA BLVD,St Johns,2,Property,Fraud,Property,Fraud Offenses,Credit Card/ATM Fraud,1,45.603702739,-122.749703641,7626400,714214,2026
26-24997,1/26/2026,January 2026,1/26/2026,1402,2100 BLOCK OF W BURNSIDE ST,Northwest,4,Property,Burglary,Property,Burglary,Burglary,1,45.523279212,-122.694658872,7639686,684514,2026
26-25001,1/26/2026,January 2026,1/23/2026,1645,10100 BLOCK OF SE WASHINGTON ST,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.518296519,-122.558896652,7674423,681782,2026
26-25011,1/26/2026,January 2026,1/25/2026,2300,900 BLOCK OF N ANCHOR WAY,Bridgeton,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.603538037,-122.676381194,7645157,713640,2026
26-25014,1/26/2026,January 2026,1/26/2026,1415,3700 BLOCK OF SE FLAVEL ST,Eastmoreland,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.469083089,-122.623897451,7657296,664276,2026
26-25015,1/26/2026,January 2026,1/12/2026,1100,900 BLOCK OF NE 61ST AVE,Rose City Park,3,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.530113899,-122.601291730,7663672,686369,2026
26-2503,1/3/2026,January 2026,1/3/2026,1642,2000 BLOCK OF NW EVERETT ST,Northwest,4,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.524858585,-122.692842444,7640167,685077,2026
26-25045,1/26/2026,January 2026,1/26/2026,1454,NW FLANDERS ST / NW 1ST AVE,Old Town/Chinatown,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.526001339,-122.671531381,7645638,685346,2026
26-25047,1/26/2026,January 2026,1/26/2026,1447,14300 BLOCK OF NE WHITAKER WAY,Argay,1,Property,Other Property Offenses,Property,Embezzlement,Embezzlement,1,45.556621980,-122.513619277,7686373,695459,2026
26-25072,1/26/2026,January 2026,1/25/2026,1600,500 BLOCK OF SE 105TH AVE,Mill Park,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.518677223,-122.555561953,7675281,681899,2026
26-25078,1/26/2026,January 2026,1/26/2026,1631,500 BLOCK OF SE GRAND AVE,Buckman West,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.519009832,-122.660796574,7648320,682724,2026
26-25079,1/26/2026,January 2026,1/24/2026,30,1700 BLOCK OF W BURNSIDE ST,Northwest,4,Property,Larceny: Other,Property,Larceny Offenses,Purse-Snatching,1,45.522970608,-122.688398002,7641287,684358,2026
26-25089,1/26/2026,January 2026,1/26/2026,1345,6800 BLOCK OF SW 45TH AVE,Multnomah,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.475222295,-122.723085521,7631921,667198,2026
26-2511,1/3/2026,January 2026,1/3/2026,1653,500 BLOCK OF NE OREGON ST,Lloyd,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.528682181,-122.660161513,7648577,686245,2026
26-25116,1/26/2026,January 2026,1/26/2026,1612,5300 BLOCK OF NE PRESCOTT ST,Cully,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.555454363,-122.607998174,7662195,695650,2026
26-25137,1/26/2026,January 2026,1/26/2026,1710,7000 BLOCK OF N BANK ST,St Johns,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.596775521,-122.735175241,7630047,711586,2026
26-25149,1/26/2026,January 2026,1/25/2026,1400,900 BLOCK OF NE GRAND AVE,Lloyd,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.529689052,-122.660601893,7648474,686615,2026
26-25169,1/26/2026,January 2026,1/26/2026,830,0 BLOCK OF SE MARTIN LUTHER KING JR BLVD,Buckman West,3,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.522579095,-122.661830118,7648090,684032,2026
26-2517,1/3/2026,January 2026,1/3/2026,1717,5000 BLOCK OF SE 72ND AVE,Mt Scott-Arleta,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.486268403,-122.589251878,7666343,670308,2026
26-2519,1/3/2026,January 2026,12/31/2025,2230,3300 BLOCK OF NE 162ND AVE,Wilkes,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.546844223,-122.495994711,7690798,691783,2026
26-25191,1/26/2026,January 2026,1/25/2026,2030,3300 BLOCK OF NE FREMONT DR,Madison South,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.547136988,-122.576123785,7670279,692407,2026
26-25202,1/26/2026,January 2026,1/26/2026,1742,7800 BLOCK OF NE GLISAN ST,Montavilla,3,Property,Larceny: Other,Property,Larceny Offenses,Pocket-Picking,1,45.526480258,-122.582968040,7668332,684923,2026
26-25229,1/26/2026,January 2026,1/26/2026,1823,7900 BLOCK OF SE POWELL BLVD,South Tabor,3,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.497464694,-122.581416407,7668457,674337,2026
26-25255,1/26/2026,January 2026,1/26/2026,1852,0 BLOCK OF SE GRAND AVE,Buckman West,3,Property,Robbery,Property,Robbery,Robbery,1,45.522573907,-122.660647286,7648393,684022,2026
26-2530,1/3/2026,January 2026,1/3/2026,1812,1200 BLOCK OF NE 102ND AVE,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.531676268,-122.558011742,7674774,686653,2026
26-2531,1/3/2026,January 2026,1/3/2026,1700,2100 BLOCK OF NE 112TH AVE,Parkrose Heights,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.538127191,-122.547673553,7677482,688937,2026
26-25323,1/26/2026,January 2026,1/26/2026,2011,13700 BLOCK OF SE STEELE ST,Powellhurst-Gilbert,1,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.484805069,-122.522026149,7683565,669336,2026
26-25368,2/2/2026,February 2026,1/26/2026,2110,8200 BLOCK OF N DENVER AVE,Kenton,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.582749519,-122.686949664,7642248,706136,2026
26-25427,1/26/2026,January 2026,1/26/2026,2149,12100 BLOCK OF SE DIVISION ST,Powellhurst-Gilbert,1,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.504012059,-122.538207241,7679593,676441,2026
26-25448,1/26/2026,January 2026,1/26/2026,1500,1800 BLOCK OF NW FRONT AVE,Northwest,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.536568700,-122.686068365,7642018,689298,2026
26-25465,1/26/2026,January 2026,1/26/2026,2317,6900 BLOCK OF NE SANDY BLVD,Roseway,3,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Intimidation,1,45.547284637,-122.591740110,7666281,692564,2026
26-25466,1/26/2026,January 2026,1/26/2026,2330,NE 122ND AVE / E BURNSIDE ST,Hazelwood,1,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.522585530,-122.537765536,7679877,683208,2026
26-25494,1/27/2026,January 2026,1/27/2026,4,4300 BLOCK OF SE 103RD AVE,Lents,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.490701205,-122.557081315,7674632,671712,2026
26-25496,1/27/2026,January 2026,1/27/2026,137,1000 BLOCK OF NE 102ND AVE,Hazelwood,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.530251957,-122.558034276,7674755,686134,2026
26-25512,1/27/2026,January 2026,1/27/2026,40,NE GLISAN ST / NE 102ND AVE,Hazelwood,1,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.526271695,-122.558151511,7674688,684684,2026
26-25540,1/27/2026,January 2026,1/27/2026,138,9200 BLOCK OF SE CLINTON ST,Powellhurst-Gilbert,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.502506699,-122.567785626,7671998,676085,2026
26-25566,1/27/2026,January 2026,1/27/2026,325,1600 BLOCK OF SE 11TH AVE,Hosford-Abernethy,3,Property,Burglary,Property,Burglary,Burglary,1,45.511144629,-122.654760940,7649790,679816,2026
26-25568,1/27/2026,January 2026,1/27/2026,325,14900 BLOCK OF SE STARK ST,Centennial,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.519112142,-122.509416763,7687109,681760,2026
26-25585,1/27/2026,January 2026,1/22/2026,1200,7100 BLOCK OF NE 22ND AVE,Concordia,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.574461770,-122.643774116,7653218,702819,2026
26-25602,1/27/2026,January 2026,1/27/2026,535,3800 BLOCK OF S RIVER PKWY,South Portland,4,Property,Fraud,Property,Fraud Offenses,Credit Card/ATM Fraud,1,45.495325788,-122.669711127,7645804,674153,2026
26-25608,1/27/2026,January 2026,1/27/2026,607,SE 96TH AVE / SE DUKE ST,Lents,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.475976571,-122.564710483,7672539,666395,2026
26-25616,1/27/2026,January 2026,1/27/2026,633,1100 BLOCK OF NE BROADWAY,Lloyd,2,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.535006047,-122.654034849,7650208,688508,2026
26-25629,1/27/2026,January 2026,1/27/2026,700,4300 BLOCK OF S MACADAM AVE,South Portland,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Intimidation,1,45.492173459,-122.672894883,7644957,673026,2026
26-25637,1/27/2026,January 2026,1/27/2026,700,300 BLOCK OF SE 99TH AVE,Hazelwood,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.520088891,-122.562216565,7673589,682457,2026
26-25642,1/27/2026,January 2026,1/26/2026,1900,2700 BLOCK OF NE SANDY BLVD,Kerns,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.528899299,-122.637693414,7654335,686171,2026
26-25651,1/27/2026,January 2026,1/27/2026,408,100 BLOCK OF SE GRAND AVE,Buckman West,3,Property,Burglary,Property,Burglary,Burglary,1,45.521863616,-122.660776378,7648353,683764,2026
26-25691,1/27/2026,January 2026,1/25/2026,0,4400 BLOCK OF NE 158TH AVE,Wilkes,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,2,45.555194675,-122.500298988,7689771,694854,2026
26-25695,1/27/2026,January 2026,1/26/2026,1300,900 BLOCK OF SE 174TH AVE,Centennial,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.515850650,-122.484602963,7693438,680414,2026
26-25702,1/27/2026,January 2026,1/26/2026,1800,4400 BLOCK OF SE SALMON ST,Sunnyside,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.514333949,-122.616618109,7659595,680720,2026
26-2572,1/3/2026,January 2026,1/3/2026,500,1400 BLOCK OF SW BROADWAY,Downtown,4,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.514362757,-122.682388067,7642742,681179,2026
26-25721,1/27/2026,January 2026,1/11/2026,0,4800 BLOCK OF SE POWELL BLVD,Richmond,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.497572362,-122.613083168,7660341,674587,2026
26-25731,1/27/2026,January 2026,1/26/2026,2100,2500 BLOCK OF SE 164TH AVE,Centennial,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.504144627,-122.495024794,7690662,676213,2026
26-25738,1/27/2026,January 2026,1/11/2026,2330,NW 19TH AVE / NW NORTHRUP ST,Northwest,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.531363702,-122.690548492,7640819,687432,2026
26-25765,1/27/2026,January 2026,12/26/2025,1200,600 BLOCK OF NW COUCH ST,Old Town/Chinatown,4,Property,Larceny: Other,Property,Larceny Offenses,Pocket-Picking,1,45.523810713,-122.676958892,7644226,684585,2026
26-25771,1/27/2026,January 2026,12/20/2025,1400,2500 BLOCK OF SE 122ND AVE,Powellhurst-Gilbert,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.503652083,-122.537620784,7679740,676306,2026
26-25778,1/27/2026,January 2026,1/26/2026,1400,10500 BLOCK OF SE REEDWAY ST,Lents,1,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.480990046,-122.553644774,7675423,668150,2026
26-25781,1/27/2026,January 2026,1/27/2026,1020,3400 BLOCK OF N WILLIAMS AVE,Eliot,2,Property,Burglary,Property,Burglary,Burglary,1,45.547860108,-122.666729191,7647082,693280,2026
26-25782,1/27/2026,January 2026,1/26/2026,2130,2900 BLOCK OF SE BELMONT ST,Sunnyside,3,Property,Burglary,Property,Burglary,Burglary,1,45.516474231,-122.635434356,7654794,681627,2026
26-25783,1/27/2026,January 2026,1/26/2026,1602,6100 BLOCK OF SE POWELL BLVD,South Tabor,3,Property,Burglary,Property,Burglary,Burglary,1,45.497509422,-122.599910069,7663717,674476,2026
26-25786,1/27/2026,January 2026,1/26/2026,1710,5400 BLOCK OF S MACADAM AVE,South Portland,4,Property,Burglary,Property,Burglary,Burglary,1,45.484061803,-122.674702609,7644414,670082,2026
26-25801,1/27/2026,January 2026,12/27/2025,2359,5400 BLOCK OF NE 53RD AVE,Cully,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.562458816,-122.608441981,7662148,698206,2026
26-25811,1/27/2026,January 2026,1/27/2026,1046,1900 BLOCK OF SE 10TH AVE,Hosford-Abernethy,3,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.509009595,-122.655663274,7649538,679044,2026
26-25824,1/27/2026,January 2026,1/27/2026,1059,0 BLOCK OF NE SAN RAFAEL ST,Eliot,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.537033259,-122.665441401,7647306,689325,2026
26-25828,1/27/2026,January 2026,4/15/2025,1700,3500 BLOCK OF N VANCOUVER AVE,Boise,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.548938716,-122.668019940,7646762,693682,2026
26-25830,1/27/2026,January 2026,12/25/2025,1200,8600 BLOCK OF SW 10TH AVE,Marshall Park,4,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.462281296,-122.688611272,7640633,662240,2026
26-25838,1/27/2026,January 2026,1/26/2026,1845,4000 BLOCK OF NE SANDY BLVD,Hollywood,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.535357118,-122.621590889,7658522,688416,2026
26-25847,1/27/2026,January 2026,1/27/2026,1150,2100 BLOCK OF NW RALEIGH ST,Northwest,4,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.534077198,-122.695724388,7639520,688457,2026
26-25855,1/27/2026,January 2026,1/27/2026,710,NW IRVING ST / NW 12TH AVE,Pearl,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.527923526,-122.683319221,7642637,686128,2026
26-25859,1/27/2026,January 2026,1/27/2026,1135,300 BLOCK OF W BURNSIDE ST,Downtown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.523067886,-122.673878159,7645008,684293,2026
26-25869,1/27/2026,January 2026,1/17/2026,1150,2000 BLOCK OF SW SALMON ST,Goose Hollow,4,Property,Burglary,Property,Burglary,Burglary,1,45.520634010,-122.693955568,7639840,683545,2026
26-25876,1/27/2026,January 2026,1/27/2026,1155,200 BLOCK OF SE 160TH AVE,Glenfair,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.520751697,-122.499097341,7689768,682292,2026
26-25881,1/27/2026,January 2026,1/22/2026,700,10800 BLOCK OF SE CLINTON ST,Powellhurst-Gilbert,1,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.502657832,-122.551860952,7676081,676036,2026
26-25883,1/27/2026,January 2026,1/27/2026,1208,3500 BLOCK OF SE 122ND AVE,Powellhurst-Gilbert,1,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.496687119,-122.537722055,7679650,673768,2026
26-25890,1/27/2026,January 2026,1/26/2026,2000,1700 BLOCK OF W BURNSIDE ST,Northwest,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.522970608,-122.688398002,7641287,684358,2026
26-25892,1/27/2026,January 2026,1/27/2026,38,2100 BLOCK OF SE SALMON ST,Buckman East,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.514363411,-122.644030216,7652571,680916,2026
26-25900,1/27/2026,January 2026,12/8/2025,0,3100 BLOCK OF NE 46TH AVE,Beaumont-Wilshire,2,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.545801382,-122.615671438,7660138,692183,2026
26-25906,1/27/2026,January 2026,1/23/2026,1700,1600 BLOCK OF NW 13TH AVE,Pearl,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.534683059,-122.684520056,7642396,688600,2026
26-25922,1/27/2026,January 2026,1/26/2026,1700,1600 BLOCK OF SE LINN ST,Sellwood-Moreland,4,Property,Burglary,Property,Burglary,Burglary,1,45.459372397,-122.647535078,7651140,660897,2026
26-25938,1/27/2026,January 2026,1/27/2026,1309,6200 BLOCK OF NE HOYT ST,North Tabor,3,Property,Burglary,Property,Burglary,Burglary,1,45.527142779,-122.599179362,7664185,685272,2026
26-25940,1/27/2026,January 2026,1/26/2026,2200,SW NAITO PKWY / S HARBOR DR,Downtown,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.512123743,-122.675453332,7644497,680315,2026
26-25950,1/27/2026,January 2026,1/27/2026,1318,2000 BLOCK OF NE ALBERTA ST,Vernon,2,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.559114344,-122.644346408,7652923,697229,2026
26-25952,1/27/2026,January 2026,1/26/2026,2200,4600 BLOCK OF N MARYLAND AVE,Overlook,2,Property,Larceny: Other,Property,Larceny Offenses,Purse-Snatching,1,45.556582877,-122.681055449,7643499,696558,2026
26-25960,1/27/2026,January 2026,1/27/2026,300,200 BLOCK OF SW ANKENY ST,Old Town/Chinatown,4,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.522586519,-122.672782474,7645284,684110,2026
26-25966,1/27/2026,January 2026,1/26/2026,1200,3700 BLOCK OF N VANCOUVER AVE,Boise,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.549838111,-122.667902006,7646801,694009,2026
26-25969,1/27/2026,January 2026,1/27/2026,1336,1000 BLOCK OF SE BELMONT ST,Buckman West,3,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.516451437,-122.655169155,7649737,681753,2026
26-25979,1/27/2026,January 2026,1/27/2026,1341,6100 BLOCK OF SE POWELL BLVD,South Tabor,3,Property,Burglary,Property,Burglary,Burglary,1,45.497509422,-122.599910069,7663717,674476,2026
26-2598,1/3/2026,January 2026,1/3/2026,1600,1400 BLOCK OF NW 14TH AVE,Pearl,4,Property,Fraud,Property,Fraud Offenses,Credit Card/ATM Fraud,1,45.533238479,-122.685604389,7642104,688081,2026
26-25989,1/27/2026,January 2026,1/22/2026,1130,2600 BLOCK OF NW THURMAN ST,Northwest,4,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.535409272,-122.705824852,7636946,689013,2026
26-26006,1/27/2026,January 2026,1/27/2026,1406,10100 BLOCK OF SE WASHINGTON ST,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.518296519,-122.558896652,7674423,681782,2026
26-26014,1/27/2026,January 2026,1/27/2026,1413,1300 BLOCK OF SW 13TH AVE,Downtown,4,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.516475248,-122.687445191,7641467,681984,2026
