registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
181719,THE FIRST BAPTIST CHURCH OF ALBANY,DOMESTIC NONPROFIT CORPORATION,1875-07-15,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,420 3RD AVE SE,,ALBANY,OR,97321
181818,THE FIRST PRESBYTERIAN CHURCH OF ROSEBURG,DOMESTIC NONPROFIT CORPORATION,1875-08-10,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,823 SE LANE AVE,,ROSEBURG,OR,97470
243014,HOLBROOK LODGE NO. THIRTY ANCIENT FREE AND ACCEPTED MASONS,DOMESTIC NONPROFIT CORPORATION,1876-02-05,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,2019 MAIN ST,,FOREST GROVE,OR,97116
2311,ASHLAND LODGE NO. 23 OF THE ORDER OF ANCIENT FREE AND ACCEPTED MASONS,DOMESTIC NONPROFIT CORPORATION,1878-02-21,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,570 CLOVER LN,,ASHLAND,OR,97520
219410,GERMAN AMERICAN SOCIETY,DOMESTIC NONPROFIT CORPORATION,1878-03-15,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,5626 NE ALAMEDA ST,,PORTLAND,OR,97213
314617,"MONTEZUMA LODGE NO 50, OF THE INDEPENDENT ORDER OF ODD FELLOWS",DOMESTIC NONPROFIT CORPORATION,1878-04-03,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 278,,HILLSBORO,OR,97123
531319,THE TUALATIN PLAINS PRESBYTERIAN CHURCH,DOMESTIC NONPROFIT CORPORATION,1878-04-03,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,KATHERINE KINNEAR,30685 NW SCOTCH CHURCH RD,HILLSBORO,OR,97124
250118,HUBBARD CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1878-07-07,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,19816 BUTTEVILLE RD NE,,HUBBARD,OR,97032
281311,"LEBANON LODGE NO. 47, I.O.O.F. OF THE INDEPENDENT ORDER OF ODD FELLOWS",DOMESTIC NONPROFIT CORPORATION,1878-11-04,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,20 E ASH ST,,LEBANON,OR,97355
139410,DIERDORFF LODGE NO. 54 OF THE INDEPENDENT ORDER OF ODD FELLOWS,DOMESTIC NONPROFIT CORPORATION,1878-12-30,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,38952 HWY 226,,SCIO,OR,97374
