record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20001223-1,record_php,2000-12-23,Saturday 23 December 2000,13:51,Beechcraft 200 Super King Air,Videovision Broadcast Ltd.,VP-BBK,BB-1519,1995,Pratt & Whitney Canada PT6A-42,5,5,0,"Destroyed, written off",Accident,"1,8 km NE of Blackbushe Airport (BBS) -United Kingdom",Take off,Passenger - Non-Scheduled/charter/Air Taxi,Blackbushe Airport (BBS/EGLK),Palma de Mallorca Airport (PMI/LEPA),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001223-1,2000
20001229-0,record_php,2000-12-29,Friday 29 December 2000,22:34,British Aerospace 4101 Jetstream 41,"United Express, opb Atlantic Coast Airlines",N323UE,41059,1995,Garrett TPE331-14HR-801H,0,18,0,"Substantial, written off",Accident,"Charlottesville-Albemarle Airport, VA (CHO) -United States of America",Landing,Passenger - Scheduled,"Washington-Dulles International Airport, DC (IAD/KIAD)","Charlottesville-Albemarle Airport, VA (CHO/KCHO)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001229-0,2000
20001229-1,record_php,2000-12-29,Friday 29 December 2000,,Boeing 747-436,British Airways,G-BNLM,24055/795,1990,Rolls-Royce RB211-524G,0,398,0,None,Unlawful Interference,Nairobi-Jomo Kenyatta International Airport (NBO) -Kenya,En route,Passenger - Scheduled,London-Heathrow Airport (LHR/EGLL),Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),,,https://asn.flightsafety.org/database/record.php?id=20001229-1,2000
20009999-0,record_php,,unk. date 2000,,Yakovlev Yak-40,"Ecuato Guineana de Aviacion, lsf NovgorodAvia",RA-87847,9331630,1973,Ivchenko AI-25,0,,0,"Destroyed, written off",Other,Malabo-Santa Isabel Airport (SSG) -Equatorial Guinea,Standing,Unknown,,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20009999-0,2000
205788,wikibase,2000-05-20,Saturday 20 May 2000,20:10,Boeing 737-5H4,Southwest Airlines,N522SW,26564/2202,1992,CFMI CFM56-3,0,124,0,None,Accident,"Nashville International Airport, TN (BNA/KBNA) -United States of America",Unknown,Passenger - Scheduled,"Nashville International Airport, TN (BNA/KBNA)",,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/205788,2000
262540,wikibase,2000-11-22,Wednesday 22 November 2000,01:12 UTC,Embraer EMB-110P2 Bandeirante,Aeromás,CX-MAS,110393,1982,P&W Canada PT6A,0,,0,Minor,Accident,"Ministro Pistarini -Ezeiza (SAEZ), BA -Argentina",Taxi,Cargo,,,JIAAC,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/262540,2000
268818,wikibase,2000-12-27,Wednesday 27 December 2000,20:33 LT,McDonnell Douglas DC-9-51,Northwest Airlines,N769NC,47757/877,1978,P&W JT8D-17,0,27,0,Substantial,Accident,"New York-John F. Kennedy International Airport, NY (JFK/KJFK) -United States of America",Take off,Passenger - Scheduled,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)","Detroit, MI (DTW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/268818,2000
269480,wikibase,2000-11-13,Monday 13 November 2000,12:12 LT,Boeing 737-790,Alaska Airlines,N611AS,29753/385,1999,CFMI CFM56,0,100,0,None,Accident,"Anchorage, Alaska -United States of America",Approach,Passenger,"Chicago-O'Hare International Airport, IL (ORD/KORD)",Anchorage Ted Stevens International Airport (ANC/PANC),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/269480,2000
269697,wikibase,2000-11-08,Wednesday 8 November 2000,18:00 LT,Saab 340B,"Northwest Airlink, opb Mesaba Airlines",N402XJ,340B-402,,GE CT7-9B,0,25,0,Substantial,Accident,"ABERDEEN, South Dakota -United States of America",Unknown,Unknown,"MINNEAPOLIS    , MN (MSP)",(ABF),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/269697,2000
272917,wikibase,2000-09-27,Wednesday 27 September 2000,,Beechcraft 1900D,National Airways Corporation (NAC),ZS-OKM,UE-74,1993,,0,2,0,Substantial,Accident,Durban King Shaka International Airport (DUR/FALE) -South Africa,Taxi,Ferry/positioning,Durban King Shaka International Airport (DUR/FALE),Durban Virginia Airport (VIR/FAVG),CAA S.A.,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/272917,2000
282901,wikibase,2000-06-27,Tuesday 27 June 2000,,Antonov An-32A,Caricarga,HK-4171-X,2508,1991,,0,3,0,Substantial,Accident,Bogotá-Eldorado Airport (BOG/SKBO) -Colombia,Unknown,Cargo,BOG,Cartagena,Aerocivil,,https://asn.flightsafety.org/wikibase/282901,2000
283132,wikibase,2000-12-30,Saturday 30 December 2000,,Dornier Do-28D-2,ADA Aerolínea de Antioquía,HK-4037,4103,,,0,12,0,Substantial,Accident,"Urrao, Antioquia -Colombia",Approach,Passenger - Scheduled,EOH,Urrao,Aerocivil,,https://asn.flightsafety.org/wikibase/283132,2000
